dataset_id,dataset_name,dataset_title,datase_url,dataset_organization,dataset_groups,harvest_source_id,harvest_source_name,harvest_source_title,harvest_source_url,harvest_source_organization,harvest_source_groups
6d8b857a-c2c5-4444-b335-83eadb94b140,federal-student-loan-program-data,Federal Student Loan Program Data,,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
36d7debe-f2cd-45c3-b8ae-e1433c1fe9b7,zip-code-tabulation-areas-locale-assignments,Zip Code Tabulation Areas Locale Assignments,,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
7f40c4a6-b4dc-4685-90d5-1b721b527f66,school-survey-on-crime-and-safety-2016,"School Survey on Crime and Safety, 2016",,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
15e0e1be-d0fc-4012-9ee0-97962c39d714,civil-rights-data-collection-2013-14,"Civil Rights Data Collection, 2013-14",,Department of Education,"['Education', 'Opportunity']",5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
82daf6af-786e-4de1-8261-91c496b58f24,high-school-longitudinal-study-of-2009,High School Longitudinal Study of 2009,,Department of Education,"['AAPI', 'Education']",5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
1e6ce98a-4dd9-4b5e-99f8-7131cb7c0174,2011-national-assessment-of-educational-progress,"National Assessment of Educational Progress, 2011",,Department of Education,"['AAPI', 'Education']",5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
4ee69f1f-92bf-404b-b414-f18107e12bdf,edfacts-graduates-and-dropouts-201112,"EDFacts Graduates and Dropouts, 2011-12",,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
3de7905b-fb97-407b-9705-03e50b861100,national-longitudinal-transition-study-2,National Longitudinal Transition Study-2,,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
76483ee2-71bd-49d1-9d2a-57638ad3d13e,private-school-universe-survey-2015-16,"Private School Universe Survey, 2015-16",,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
43daf08d-4321-4056-b97d-4bae2094b969,national-teacher-and-principal-survey-2015-16,"National Teacher and Principal Survey, 2015-16",,Department of Education,['Education'],5dbeaed9-d6b1-4f96-be25-63b14804ca7b,education-json,Education JSON,http://www.ed.gov/data.json,Department of Education,[]
