source_id,title,name,url,title,organization_name,organization_title,is_organization,error,source_type,frequency,validator_schema,config,collections,child_datasets,download_ok,parsed_ok,validate_ok,schema_version,total_dataset,total_resources,dataset_types,resource_types
592592e5-068e-4271-b75d-142cd7a24454,Census 5-Digit ZIP Code Tabulation Area (ZCTA5) National,census-5-digit-zip-code-tabulation-area-zcta5-national,http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/zcta510/,Census 5-Digit ZIP Code Tabulation Area (ZCTA5) National,census-gov,"US Census Bureau, Department of Commerce",True,,waf-collection,MANUAL,,"{'collection_metadata_url': 'http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/SeriesCollection/SeriesCollection_tl_2013_zcta510.shp.iso.xml', 'validator_profiles': ['iso19139ngdc'], 'private_datasets': False}",-1,-1,,,,,-1,-1,,
bef8a9cc-6489-45c9-bb5f-ba7280aed8d8,Current American Indian/Alaska Native/Native  Hawaiian Areas National (AIANNH),current-american-indian-alaska-native-native-hawaiian-areas-national-aiannh,http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/aiannh/,Current American Indian/Alaska Native/Native  Hawaiian Areas National (AIANNH),census-gov,"US Census Bureau, Department of Commerce",True,,waf-collection,MANUAL,,"{'collection_metadata_url': 'http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/SeriesCollection/SeriesCollection_tl_2013_aiannh.shp.iso.xml', 'validator_profiles': ['iso19139ngdc'], 'private_datasets': False}",-1,-1,,,,,-1,-1,,
225c991b-6cac-4921-abb2-4daab99192bf,USGS National Structures Dataset (NSD) Downloadable Data Collection,usgs-national-structures-dataset-nsd-downloadable-data-collection,http://thor-f5.er.usgs.gov/ngtoc/metadata/waf/structures/nsd/,USGS National Structures Dataset (NSD) Downloadable Data Collection,usgs-gov,"U.S. Geological Survey, Department of the Interior",True,,waf-collection,MANUAL,,"{'collection_metadata_url': 'http://thor-f5.er.usgs.gov/ngtoc/metadata/waf/collections/USGS_Structures_Collection.xml', 'private_datasets': False}",-1,-1,,,,,-1,-1,,
709ff9b2-9a8e-4228-a05b-3a9937873dac,1/3rd arc-second Digital Elevation Models (DEMs) - USGS National Map,national-elevation-dataset-ned-1-3-arc-second-collection,http://thor-f5.er.usgs.gov/ngtoc/metadata/waf/elevation/1-3_arc-second/,1/3rd arc-second Digital Elevation Models (DEMs) - USGS National Map,usgs-gov,"U.S. Geological Survey, Department of the Interior",True,,waf-collection,MANUAL,,{},-1,-1,,,,,-1,-1,,
beef8580-8136-4ec0-8a25-90aa40dd1b62,2014_necta_500k,2014-necta-500k,http://meta.geo.census.gov/data/existing/decennial/GEO/CPMB/boundary/2015gz/CartographicShapefiles/necta_500k/,2014_necta_500k,census-gov,"US Census Bureau, Department of Commerce",True,,waf,MANUAL,,{'private_datasets': False},-1,-1,,,,,-1,-1,,
d75b9509-d5fb-49fc-87b9-7ffc35ef46f1,1/9th Arc-second Digital Elevation Models (DEMs) - USGS National Map,national-elevation-dataset-ned-1-9-arc-second-collection,http://thor-f5.er.usgs.gov/ngtoc/metadata/waf/elevation/1-9_arc-second/,1/9th Arc-second Digital Elevation Models (DEMs) - USGS National Map,usgs-gov,"U.S. Geological Survey, Department of the Interior",True,,waf-collection,MANUAL,,{},-1,-1,,,,,-1,-1,,
b8b6eeb8-7c48-4fa7-9681-2632851a4920,5 Meter Alaska Digital Elevation Models (DEMs) - USGS National Map,5-meter-alaska-digital-elevation-models-dems-usgs-national-map,http://thor-f5.er.usgs.gov/ngtoc/metadata/waf/elevation/5_meter_Alaska/arcgrid/,5 Meter Alaska Digital Elevation Models (DEMs) - USGS National Map,usgs-gov,"U.S. Geological Survey, Department of the Interior",True,,waf-collection,MANUAL,,{},-1,-1,,,,,-1,-1,,
d2b8ee7a-2d57-4490-83dd-7875815fb0d8,FGDC WAF (Hosted by DOI for Geoplatform.gov),fgdc-waf-hosted-by-doi-for-geoplatform-gov,http://data.doi.gov/WAF/FGDC,FGDC WAF (Hosted by DOI for Geoplatform.gov),fgdc-gov,Federal Geographic Data Committee,True,,waf,MANUAL,,{},-1,-1,,,,,-1,-1,,
161a93bd-617e-48dd-b11e-07f98f1dc0c2,kml_aiannnh_500,kml-aiannnh-500,http://meta.geo.census.gov/data/existing/decennial/GEO/CPMB/boundary/2016gz/kml_aiannh_500/,kml_aiannnh_500,census-gov,"US Census Bureau, Department of Commerce",True,,waf,MANUAL,,"{'validator_profiles': ['iso19139ngdc'], 'private_datasets': False}",-1,-1,,,,,-1,-1,,
12aae57e-3e54-4a8b-8daf-c2d5a7e09687,Current county and Equivlaent National Shapefile,current-county-and-equivlaent-national-shapefile,http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/county/,Current county and Equivlaent National Shapefile,census-gov,"US Census Bureau, Department of Commerce",True,,waf-collection,MANUAL,,"{'collection_metadata_url': 'http://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/TIGER2013/SeriesCollection/SeriesCollection_tl_2013_county.shp.iso.xml', 'validator_profiles': ['iso19139ngdc'], 'private_datasets': False}",-1,-1,,,,,-1,-1,,
